Flow_cfs,Keswick_2_Battle_Ck_Pref11_BankArea_Sq_ft,Battle_Ck_2_Feather_Rv_Pref11_BankArea_Sq_ft,Feather_Rv_2_Freeport_Pref11_BankArea_Sq_ft
2000,0,0,0
2500,0,0,0
3000,0,0,0
3500,0,0,0
4000,0,431819.638272004,0
4500,0,533709.665280004,0
5000,0,8727.2625,0
5500,0,8949.44134656,0
6000,0,9159.27692328,0
6500,0,9369.1125,0
7000,0,9566.6048082,0
7500,0,9751.75384656,0
8000,0,9936.90288492,0
8500,0,156514.72292544,0
9000,0,182224.02482328,0
9500,0,206951.153791799,0
10000,0,530680.073635799,0
10500,0,872088.106183799,0
11000,0,1818860.97187607,0
11500,0,2089505.86362143,0
12000,0,1535384.14541292,0
12500,0,2161741.8787074,0
13000,0,2169620.49375456,0
13500,0,2187905.187402,0
14000,0,2206158.00836772,0
14500,0,2223396.78372372,0
15000,0,1815025.89082843,0
15500,0,1827566.32275006,0
16000,0,2479127.693888,0
16500,0,2493748.0060284,0
17000,0,2508308.65279236,0
17500,0,1865386.76554692,0
18000,0,1416847.89723782,0
18500,0,1461939.60304022,0
19000,611222.303999918,1303671.11612581,0
19500,611222.303999918,1686694.79616539,0
20000,611222.303999918,1983790.97619954,0
20500,611222.303999918,1746769.28644728,0
21000,617243.383679919,1649463.98172126,0
21500,617719.871999919,2066754.41313687,0
22000,618153.04319992,1700843.53384341,0
22500,618629.53151992,1544762.90803599,0
23000,619062.70271992,2285223.93181043,0
23500,619539.19103992,2431225.59641266,0
24000,619972.36223992,2653897.45300671,0
24500,620405.53343992,3914103.01762784,0
25000,620838.70463992,4854356.82521988,0
25500,621271.87583992,6328191.18901274,0
26000,621705.04703992,6021736.89550833,0
26500,622138.21823992,5876396.5308589,0
27000,2299212.26303996,6305770.06840096,0
27500,2318009.29113596,7212708.62909785,0
28000,2308298.14617596,6786464.37983107,4454.00513184
28500,1681218.10137604,6903832.21030323,5031.92636364
29000,1681611.23750404,9029375.71685079,5609.84759412
29500,1919170.56038405,9770433.00057315,9370.9669433423
30000,2325473.97350406,9490842.45990989,21011.4144674543
35000,959837.871168023,23077029.5452398,7414.0712974942
40000,4500895.47113169,63132209.6216878,517011.280831256
45000,1824843.13802206,69212677.3231299,613424.231101263
50000,2835743.1374131,74575004.7454881,1777225.38710217
55000,1524461.84409024,87567617.2677396,3271803.58566098
60000,3438620.82176441,105327773.020183,8026729.37676944
65000,9453847.04239284,103071354.924907,9140186.74535735
70000,20235255.7590544,119472128.097614,8667207.35368599
75000,14589740.1351311,143579497.652891,10998827.7743787
80000,27208802.3202945,223347824.300308,11730374.1247596
85000,18199828.6519878,291493177.580327,10629893.0746478
90000,15670512.8320618,298129944.50797,9525978.01574633
95000,18512710.2235955,312651254.098483,9573612.35702373
100000,19905284.385332,371793011.352462,9154503.74423756
110000,22298508.510098,400142574.245973,9509322.30986379
120000,17936740.7041316,462129541.764164,10171862.8679549
130000,26137642.3940221,510786116.318171,7567598.10638837
140000,32522969.0426558,516496715.501231,6893444.41356969
150000,51512547.2141199,542904779.355693,5885350.35185624
160000,65168733.655324,561230738.827293,4656992.14772631
170000,49025088.6383851,564436436.156213,3959916.15739332
180000,63957500.8971022,534783231.69185,4368341.63076152
190000,58998508.1618839,562551837.767956,6241880.7000767
200000,40677600.2810235,512937300.5593,5791851.39366708
