discharge,fry,juv,fall_spawn,spring_spawn,reach
4,8079,1419.83,47.53,195.1,wildcat_study
6,8177.46,2308.52,87.86,384.85,wildcat_study
8,8042.42,3058.33,179.29,546.39,wildcat_study
10,7822.9,3688.61,285.54,677.72,wildcat_study
12,7554.2,4465.95,383.22,823.98,wildcat_study
14,7409.18,4904.75,450.76,913.65,wildcat_study
16,7205.9,5328.28,519.88,947.56,wildcat_study
18,6978.34,5704.03,592.76,959.18,wildcat_study
20,6737.42,6050.91,663.86,964.54,wildcat_study
25,6247.88,6741,837.85,976.02,wildcat_study
30,5786.74,7169.76,934.85,960.55,wildcat_study
35,5412.26,7391.93,989.07,927.29,wildcat_study
40,5103.76,7450,1014.09,866.99,wildcat_study
45,4859.14,7378.02,1014.39,822.54,wildcat_study
50,4729.95,7257.95,996.27,768.07,wildcat_study
60,4618.32,6956.12,924.54,661.73,wildcat_study
70,4537.8,6604.8,823.38,568.49,wildcat_study
80,4425.13,6321.99,689.88,462.36,wildcat_study
90,4310.77,6119.65,595.84,396.71,wildcat_study
100,4072.36,5964.37,566.8,387.19,wildcat_study
120,3802.3,5822.14,536.15,345.91,wildcat_study
140,3676.25,5619.65,446.23,309.53,wildcat_study
160,3681.38,5403.78,382.51,265.83,wildcat_study
180,3663.76,5122.05,332.51,243.33,wildcat_study
200,3581.81,4813.66,294.28,211,wildcat_study
220,3560.43,4597.98,265.37,179.53,wildcat_study
240,3546.7,4449.36,242.95,162.9,wildcat_study
4,7658,1393.61,71.82,283.47,eagle_canyon
6,7754.17,2248.22,128.55,516.66,eagle_canyon
8,7627.63,2966.69,241.97,718.4,eagle_canyon
10,7427.05,3573.16,369.29,898.42,eagle_canyon
12,7127.27,4324.42,502.57,1102.09,eagle_canyon
14,7000.76,4738.59,605.62,1236.61,eagle_canyon
16,6815.6,5133.8,710.24,1296.27,eagle_canyon
18,6608.18,5487.63,821.01,1326.72,eagle_canyon
20,6390.15,5814.66,929.47,1345.71,eagle_canyon
25,5960.21,6481.29,1190.91,1385.15,eagle_canyon
30,5551.96,6902.65,1343.76,1364.94,eagle_canyon
35,5217.4,7126.34,1413.36,1300.58,eagle_canyon
40,4948.07,7191.2,1426.69,1206.92,eagle_canyon
45,4738.3,7128.75,1405.6,1132.39,eagle_canyon
50,4643.46,7021.75,1364.86,1043.44,eagle_canyon
60,4590.32,6755.42,1251.1,892.02,eagle_canyon
70,4552.05,6446.09,1123.59,768.4,eagle_canyon
80,4453.22,6214.04,955.87,647.39,eagle_canyon
90,4321.25,6072.15,843.49,568.14,eagle_canyon
100,4069.79,6034.51,805.84,516.58,eagle_canyon
120,3808.05,5860.83,723.23,442.23,eagle_canyon
140,3676.92,5683.62,601.93,392.52,eagle_canyon
160,3666.82,5480.5,515.9,334.13,eagle_canyon
180,3639.93,5202.54,445.81,296.66,eagle_canyon
200,3557.17,4888.32,380.95,243.42,eagle_canyon
220,3534.88,4652.52,327.71,196.4,eagle_canyon
240,3521.08,4478.12,286.86,168.59,eagle_canyon
3,8706.22,1260.31,17.39,78.98,digger_reach
5,9079.03,2324.54,42.51,192.9,digger_reach
7,9105.29,3380.95,97.12,317.08,digger_reach
9,8983.49,4236.44,160.06,402.43,digger_reach
11,8784.38,4971.93,215.74,519.5,digger_reach
13,8515.99,5627.14,280.24,626.01,digger_reach
15,8298,6215.21,345.29,688.19,digger_reach
17,8115.16,6706.32,418.84,749.41,digger_reach
19,7870.89,7106.39,482.4,822.97,digger_reach
21,7662.96,7515.07,535.32,896.52,digger_reach
25,7222.55,8171.49,618.96,1040.48,digger_reach
30,6739.86,8753.72,745.7,1203.99,digger_reach
35,6364.76,9133.47,862.2,1284.48,digger_reach
40,6038.67,9368.17,1010.62,1336.68,digger_reach
45,5761.11,9467.69,1128.36,1413.76,digger_reach
50,5555.81,9492.14,1222.42,1486.74,digger_reach
60,5263.57,9264.49,1382.64,1516.61,digger_reach
70,4989.42,8855.19,1457.7,1417.46,digger_reach
80,4719.85,8421.97,1516.54,1267.14,digger_reach
90,4347.43,8094.1,1497.92,1131.58,digger_reach
100,4155.99,7660.25,1418.13,992.07,digger_reach
120,3911.33,6933.79,1192.57,767.8,digger_reach
140,3723.4,6366.88,963.81,579.27,digger_reach
160,3582.99,5918.23,777.1,423.57,digger_reach
180,3464.61,5577.22,630.96,314.91,digger_reach
200,3361.92,5310.7,506.68,250.96,digger_reach
