"WUA in square feet per 1000 feet, stillwater 2010 PHABSIM, ST = steelhead (O.Mykiss), the other columns are chinook",,,,,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,ST_spawn_WUA,ST_fry_WUA,ST_juv_WUA,adult_ST_WUA,watershed
50,2116.32,32897.03,48648.28,11648.21,54751.06,53029.98,15204.23,Tuolumne River
75,4950.27,30762.01,50596.55,17137.87,50438.41,55934.07,20427.83,Tuolumne River
100,7447.46,28799.02,51759.16,21449.1,46884.87,57493.7,24811.7,Tuolumne River
125,10807.84,27025.69,52516.33,24938.94,44259.05,58459.15,28513.29,Tuolumne River
150,13071.88,25415.04,52814.11,27813.79,42362.45,58803.13,31455.03,Tuolumne River
175,15233,24032.45,52526.09,30187.09,40543.54,58594.14,33793.8,Tuolumne River
200,16715.36,22847.85,51672.91,32190.74,38948.5,57943.69,35650.73,Tuolumne River
225,17532.14,21821.38,50618.49,33876.89,37709.09,57339.7,37258.87,Tuolumne River
250,18116.91,20907.8,49513.25,35297.01,36641.38,56555.18,38640.99,Tuolumne River
275,18788.06,20116.93,48370.69,36497.83,35538.8,55752.38,39846.86,Tuolumne River
300,18816.55,19427.09,47223.19,37512.27,34610.77,54951.57,40802.07,Tuolumne River
325,18687.83,18840.34,46052.38,38341.84,33906.77,54073.44,41540.48,Tuolumne River
350,17938.96,18335.55,44902.8,39040.29,33297.9,53088.4,42124.86,Tuolumne River
375,17321.83,17896.66,43795.04,39594.69,32741.19,52086.89,42633.89,Tuolumne River
400,16838.83,17480.39,42697.2,40055.69,32311.32,51131.27,43037.06,Tuolumne River
425,15973.93,17094.99,41665.85,40433.29,31937.37,50231.29,43373.23,Tuolumne River
450,15593,16744.73,40714.04,40738.98,31654.45,49456.44,43646.17,Tuolumne River
475,15275.23,16417.48,39786.06,40987.72,31541.98,48619.69,43853.57,Tuolumne River
500,14734.6,16137.46,38897.96,41182.09,31241.46,47845.36,44011.77,Tuolumne River
550,13349.39,15695.59,37261.25,41418.38,30722.1,46549.31,44231.72,Tuolumne River
600,12212.15,15349.23,35857.26,41490.77,30584.38,45230.46,44337.16,Tuolumne River
650,11024.56,15059.83,34713.81,41385.58,30707.28,44239.98,44369.13,Tuolumne River
700,10010.47,14891.1,33694.37,41171.44,30704.63,43244.78,44319.93,Tuolumne River
750,8975.34,14910.34,32852.21,40869.42,31042.7,42255.11,44251.88,Tuolumne River
800,8327.79,15056.86,32230.26,40529.14,31517.53,41549.14,44203.56,Tuolumne River
850,7479.93,15312.26,31779.36,40166.12,31621.97,40986.94,44096.76,Tuolumne River
900,7015.36,15642.33,31486.06,39751.73,32174.18,40592.09,43969.54,Tuolumne River
1000,5918.44,16553.4,31222.62,38919.78,33270.24,39968.53,43625.76,Tuolumne River
1100,4988.08,17354.9,31285.92,38155.59,33632.42,39831.84,43227.02,Tuolumne River
1200,4455.03,17894.26,31733.53,37502.13,34594.15,40035.8,42801.13,Tuolumne River
