 WUA in square feet,,
flow_cfs,juv_WUA,watershed
26,"10,761,659",Yolo Bypass
30,"11,543,161",Yolo Bypass
41,"12,537,301",Yolo Bypass
54,"14,216,656",Yolo Bypass
105,"21,199,536",Yolo Bypass
141,"56,293,438",Yolo Bypass
216,"80,747,642",Yolo Bypass
276,"110,099,712",Yolo Bypass
315,"110,099,712",Yolo Bypass
356,"130,352,564",Yolo Bypass
440,"143,218,987",Yolo Bypass
551,"165,254,474",Yolo Bypass
660,"184,575,966",Yolo Bypass
755,"197,984,651",Yolo Bypass
868,"200,872,732",Yolo Bypass
974,"227,382,176",Yolo Bypass
"1,045","237,194,747",Yolo Bypass
"1,220","237,194,747",Yolo Bypass
"1,413","237,194,747",Yolo Bypass
"1,788","302,955,731",Yolo Bypass
"2,342","324,733,978",Yolo Bypass
"2,665","342,862,408",Yolo Bypass
"3,634","368,260,336",Yolo Bypass
"4,205","370,340,362",Yolo Bypass
"4,632","369,552,101",Yolo Bypass
"5,512","366,644,394",Yolo Bypass
"6,594","368,113,480",Yolo Bypass
"7,541","354,209,703",Yolo Bypass
"8,642","340,998,864",Yolo Bypass
"9,561","340,998,864",Yolo Bypass
"11,023","331,919,436",Yolo Bypass
"16,875","267,334,237",Yolo Bypass
"22,813","259,119,060",Yolo Bypass
"25,702","259,119,060",Yolo Bypass
"33,511","239,094,826",Yolo Bypass
"39,173","208,934,221",Yolo Bypass
"41,583","182,614,216",Yolo Bypass
"47,583","169,876,239",Yolo Bypass
"52,365","159,453,250",Yolo Bypass
"55,655","156,401,971",Yolo Bypass
"58,883","148,572,629",Yolo Bypass
"67,148","141,958,240",Yolo Bypass
"71,011","147,388,503",Yolo Bypass
"78,947","144,702,632",Yolo Bypass
"102,336","123,958,790",Yolo Bypass
"111,431","106,133,526",Yolo Bypass
"113,767","106,936,725",Yolo Bypass
"137,466","104,928,895",Yolo Bypass
