"""data from Aceituno1993 Stanislaus River Study,total spawn wua = wua from each reach weighted by length, wua is in sqft/1000ft, all values are for Fall Run Chinook Salmon, total reach length = 24 mi ",,,,,,,,,,
flow_cfs ,reach_1_wua ,reach_4_length,reach_2_wua,reach_2_length,reach_3_wua,reach_3_length,reach_4_wua,reach_4_length,total_length,FR_total_spawn_WUA
25,351,3.5,666,3.6,1345,3.8,226,13.1,24,487.4041667
50,1007,3.5,2354,3.6,4397,3.8,1272,13.1,24,1890.445833
100,2079,3.5,5910,3.6,10634,3.8,4028,13.1,24,5072.020833
150,2824,3.5,9203,3.6,14859,3.8,6061,13.1,24,7453.254167
200,3618,3.5,11186,3.6,17087,3.8,7134,13.1,24,8804.941667
250,3904,3.5,12526,3.6,18321,3.8,8175,13.1,24,9811.245833
300,4232,3.5,13562,3.6,17834,3.8,8730,13.1,24,10240.30833
350,4383,3.5,14073,3.6,16236,3.8,8349,13.1,24,9878
400,4380,3.5,14138,3.6,14660,3.8,7684,13.1,24,9274.8
450,4312,3.5,14616,3.6,13035,3.8,7017,13.1,24,8715.220833
500,4083,3.5,14432,3.6,11582,3.8,6165,13.1,24,7959.116667
550,3848,3.5,13859,3.6,10159,3.8,5353,13.1,24,7170.370833
600,3576,3.5,13253,3.6,8606,3.8,4683,13.1,24,6428.204167
650,3207,3.5,12514,3.6,7420,3.8,4121,13.1,24,5769
700,2858,3.5,11673,3.6,6304,3.8,3533,13.1,24,5094.304167
750,2565,3.5,10633,3.6,5381,3.8,2950,13.1,24,4431.2125
800,2292,3.5,9534,3.6,4630,3.8,2449,13.1,24,3834.179167
850,2114,3.5,8453,3.6,3996,3.8,1974,13.1,24,3286.416667
900,1938,3.5,7560,3.6,3546,3.8,1623,13.1,24,2863.9625
950,1813,3.5,6837,3.6,3165,3.8,1354,13.1,24,2530.129167
1000,1720,3.5,6136,3.6,2835,3.8,1121,13.1,24,2231.9875
1050,1646,3.5,5852,3.6,2526,3.8,953,13.1,24,2037.970833
1100,1587,3.5,5504,3.6,2237,3.8,822,13.1,24,1859.904167
1150,1526,3.5,5129,3.6,1919,3.8,715,13.1,24,1686.004167
1200,1460,3.5,4873,3.6,1673,3.8,609,13.1,24,1541.170833
1250,1408,3.5,4688,3.6,1511,3.8,512,13.1,24,1427.241667
1300,1392,3.5,4495,3.6,1302,3.8,436,13.1,24,1321.383333
