watershed,order,spawn,fr,sr,st,use_mid_sac_spawn_proxy,use_mid_sac_rear_proxy
Upper Sacramento River,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Antelope Creek,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Battle Creek,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Bear Creek,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Big Chico Creek,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Butte Creek,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Clear Creek,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Cottonwood Creek,8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Cow Creek,9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Deer Creek,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Elder Creek,11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Mill Creek,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Paynes Creek,13,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Stony Creek,14,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Thomes Creek,15,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Upper-mid Sacramento River,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sutter Bypass,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Bear River,18,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Feather River,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Yuba River,20,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Lower-mid Sacramento River,21,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Yolo Bypass,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
American River,23,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Lower Sacramento River,24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Calaveras River,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Cosumnes River,26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Mokelumne River,27,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Merced River,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Stanislaus River,29,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Tuolumne River,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
San Joaquin River,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Upper Mid Sac Region,0,TRUE,TRUE,TRUE,TRUE,NA,NA
